"","hhid","exinc","inc","age","gender","nmembers","nkids","college","working","year"
"13526",82848,23923.445,31897.926,63,0,4,2,0,1,2016
"8875",51291,0,110619.47,35,0,2,0,1,1,2017
"6398",33688,30800,44000,65,0,2,0,0,1,2015
"5414",26986,66409.195,56518.461,67,0,2,0,1,0,2019
"7745",43100,40435.293,34140.617,37,1,2,0,1,0,2011
"9567",56305,20184.168,22788.578,84,0,2,0,0,0,2020
"4120",17470,47297.848,49268.59,71,0,2,0,0,0,2013
"12952",78950,28806.145,24538.568,73,0,2,0,0,0,2011
"13476",82400,5360,5000,44,0,4,2,1,1,2015
"6060",31458,23700,18000,70,0,1,0,0,0,2015
"11747",70964,32501.934,29969.064,47,0,4,2,0,1,2018
"3984",16580,71853.781,40926.426,52,1,2,0,0,1,2020
"838",3439,26752.072,30143.18,83,0,2,0,0,0,2019
"2238",12749,24322.17,31897.926,67,1,2,0,0,0,2016
"1301",10675,42178,41500,62,0,4,2,0,1,2015
"14473",89874,18285.25,18285.25,60,1,1,0,0,1,2013
"12929",78732,43179.074,42253.52,72,0,2,0,0,0,2014
"10988",65457,64444.445,2163.2251,32,0,1,0,0,1,2017
"8633",49576,50039.871,43859.648,38,0,4,2,0,1,2016
"2250",12767,47115.785,47584.34,41,1,4,2,0,1,2012
"7055",37958,24834.898,21393.359,72,0,2,0,1,0,2020
"7263",39373,36487.785,19204.098,86,0,1,0,1,1,2011
"9874",58142,2359.6458,27527.316,36,0,1,0,0,1,2019
"2342",12857,56554.523,42536.734,60,0,4,2,0,1,2018
"2651",13176,36266.012,41446.871,68,0,2,0,0,0,2019
"11451",68844,28035.576,28035.576,67,0,2,1,0,0,2018
"11177",66926,52181.191,44647.008,53,0,2,0,0,1,2020
"7136",38321,35345.551,60459.492,65,1,2,0,0,1,2020
"7983",44769,29872.391,30935.809,80,0,2,0,0,0,2018
"567",1922,29232.902,24538.568,62,0,2,0,0,0,2011
"10402",61510,139600.61,169555.39,41,0,2,0,1,1,2019
"11844",71473,51750,51791,48,0,3,1,0,1,2015
"13135",80449,13955.343,11961.723,33,1,1,0,0,0,2016
"10217",60334,16937.355,3866.9761,26,0,1,0,1,0,2018
"356",1202,23253.65,23253.65,74,0,2,0,0,0,2020
"9300",54027,18682.398,14257.62,25,1,1,0,0,1,2017
"5452",27277,32496.014,31897.926,35,0,1,0,0,1,2016
