"","hhid","exinc","inc","age","gender","nmembers","nkids","college","working","year"
"9492",55556,25150.717,30143.18,52,1,3,2,0,1,2019
"6183",32324,53018.324,52088.18,58,0,2,0,0,1,2020
"3031",13455,24491.334,22607.385,53,1,3,1,0,1,2019
"13670",83920,44051.129,67999.016,38,0,5,3,0,1,2017
"13098",79913,20835.271,26044.09,71,0,2,0,0,0,2020
"3911",15958,15097.876,117138.7,71,0,2,0,0,0,2012
"6464",34126,33298.793,32430.293,44,0,1,0,0,1,2019
"6549",34592,14749.263,11799.41,65,0,2,0,0,1,2017
"10920",65008,19429.695,17699.115,32,0,1,0,0,1,2017
"3969",16538,26875.482,17401.393,49,0,4,2,0,1,2018
"6935",37035,39400,32000,54,0,3,1,0,1,2015
"12317",74484,42052.313,32193.158,52,0,1,0,1,1,2014
"6962",37223,26563.678,30143.18,70,0,3,1,0,0,2019
"6044",31375,2455.5298,22235.111,26,1,1,0,0,1,2018
"4074",17234,19365.641,16742.629,59,1,1,0,0,1,2020
"2869",13325,72437.828,58873.398,46,1,4,2,1,1,2019
"12401",75042,14556.435,12494.794,51,0,1,0,0,1,2012
"10837",64416,44657.098,41417.465,49,0,1,0,0,1,2016
"13480",82452,22200,20000,61,0,3,1,0,1,2015
"11544",69207,49297.738,49297.738,67,0,2,0,0,0,2020
"8004",44901,29559.355,35211.27,37,1,6,4,0,0,2014
"2748",13224,20050.271,22235.111,51,0,1,0,0,1,2018
"6695",35451,0,23138.832,75,0,2,0,0,0,2014
"12640",76976,19026.549,17699.115,72,0,2,0,0,0,2017
"12031",72835,28369.453,29764.674,44,1,2,0,0,0,2020
"445",1375,45611.539,45205.199,64,1,1,0,0,0,2013
"4934",23516,42600,44000,63,1,3,1,0,1,2015
"11598",69555,38602.195,36570.5,41,0,5,3,0,1,2013
"1698",11914,37579.746,37579.746,72,0,2,0,0,0,2016
"6403",33691,40000,44000,53,0,4,2,0,1,2015
"1255",10492,92703.352,112141.15,70,1,2,0,1,0,2016
"9847",57873,18325.697,18742.191,64,0,2,0,0,0,2012
"7432",40620,14639.135,14027.532,34,0,1,0,0,1,2017
"7233",39177,11862.041,2217.9028,65,1,1,0,1,0,2016
"904",4175,1769.9115,1769.9115,68,1,1,0,0,0,2017
"9996",58715,30953.881,48760.668,65,0,2,0,0,0,2013
"12300",74437,25396.18,25396.18,32,0,1,0,0,1,2013
"228",848,27781.928,35847.648,67,0,2,0,0,0,2011
"7452",40853,32696.178,32193.158,32,0,3,1,0,1,2014
"11165",66799,67303.82,70422.539,38,0,4,2,0,1,2014
"9869",58024,1573.2546,2163.2251,38,1,2,1,0,1,2017
"13316",81400,37484.383,62473.969,62,0,2,0,0,1,2012
"4451",19968,31717.98,29764.674,48,0,2,0,0,1,2020
"9523",55867,25038.67,22235.111,51,1,3,1,0,0,2018
"3995",16657,0,11303.692,82,0,2,0,0,0,2019
"4836",22893,41956.691,22235.111,26,1,2,0,0,1,2018
"5897",30375,45094.59,44348.082,70,0,2,0,0,0,2017
"8821",50941,34494.465,29764.674,62,1,3,0,0,0,2020
"12496",75686,42313.883,41046.277,29,1,4,2,0,1,2014
"5309",26073,13476.874,31897.926,41,0,6,1,0,1,2016
"3423",13827,33206.215,2726.2581,69,0,2,0,0,0,2020
"12437",75293,22937.076,22607.385,59,0,1,0,0,1,2019
"10420",61702,64452.313,62473.969,56,0,2,0,1,1,2012
"1373",10776,26857.037,2214.6777,72,0,2,0,1,1,2020
"12473",75530,57521.27,60421.5,55,1,2,0,0,1,2018
"3451",13868,47098.719,3767.8975,71,1,2,0,0,0,2019
"12034",72858,58873.398,47098.719,35,0,3,1,1,1,2019
"7234",39177,13765.979,14262.537,66,1,1,0,1,0,2017
"1777",12165,44189.922,42690.547,49,1,1,0,0,1,2012
"2643",13161,21995.102,22607.385,68,0,2,0,0,0,2019
"6481",34154,1832.3877,1860.2921,73,1,1,0,0,0,2020
"9313",54222,36000,3100,65,0,2,0,0,0,2015
"11398",68484,0,5615.5361,25,1,1,0,1,0,2017
"12837",78221,23886.15,29764.674,81,0,2,0,0,0,2020
"564",1893,34000,32000,82,1,2,0,0,0,2015
"2553",13075,53728.07,52593.699,70,0,2,0,0,0,2016
"12656",77055,29300.885,37753.195,79,0,2,0,0,0,2017
"4854",22945,40461.352,40926.426,43,0,1,0,0,1,2020
"6851",36385,27952.684,20910.521,54,0,1,0,0,1,2017
"1729",12091,40157.898,34140.617,74,0,2,0,1,0,2011
"12160",73678,44059.012,44856.461,40,0,2,0,0,1,2016
"3412",13826,48040.691,41446.871,50,0,2,0,0,1,2019
"5048",24332,67783.094,69776.711,71,0,2,0,0,0,2016
"11218",67257,61458.758,60950.832,28,1,2,0,0,1,2013
"3240",13672,23750.508,2539.6179,77,1,2,0,0,0,2013
"4300",18920,90543.258,99597.586,54,1,2,0,0,1,2014
"13403",81964,59968.102,58811.801,29,0,2,0,0,1,2016
"9452",55280,0,14587.525,54,1,1,0,0,1,2014
"8185",46471,26509.162,29764.674,75,0,2,0,0,0,2020
"8219",46650,62473.969,83298.625,45,0,2,0,0,1,2012
"3059",13480,61455.262,44247.789,61,1,4,2,0,1,2017
"8112",45774,40207.234,3047.5417,40,0,4,2,0,1,2013
"12771",77824,51734.449,61457.336,70,0,2,0,0,0,2016
"36",116,19348.086,1976.6747,66,0,2,0,0,0,2016
"4796",22592,71539.055,60421.5,31,1,2,0,1,1,2018
"12136",73552,20200,23000,76,1,2,0,0,0,2015
"3971",16538,31136.639,29764.674,51,0,4,2,0,1,2020
"3604",14286,14354.067,17942.584,68,1,2,1,0,0,2016
"8083",45519,43142.426,30143.18,66,0,4,2,0,0,2019
"5389",26819,29857.688,29764.674,37,0,4,2,0,1,2020
"8458",48350,56235.871,55576.488,35,1,4,2,0,1,2019
"9039",52240,33831.738,31897.926,53,0,4,2,0,1,2016
"8239",46763,32482.598,31419.18,80,0,2,0,0,0,2018
"1660",11842,23346.666,29764.674,65,1,2,1,0,0,2020
"4006",16673,34140.617,24538.568,51,0,5,3,0,1,2011
"4208",18320,100502.7,60421.5,40,0,4,2,1,1,2018
"8243",46793,42018.949,83901.5,68,0,4,1,1,0,2012
"5208",25123,27866.273,22615.535,53,0,1,0,0,0,2017
"7323",39500,16184.541,11161.752,65,0,3,0,0,1,2020
"5405",26949,1139.3359,3720.5842,55,1,7,5,0,0,2020
"1150",10216,0,113179.08,52,0,2,0,0,1,2014
"3263",13702,36217.305,32193.158,71,0,2,0,0,0,2014
"4920",23404,70040,41856.57,48,1,4,2,0,1,2020
"3248",13674,40448.57,38451.277,48,1,3,1,0,1,2018
"1279",10615,18264.934,18285.25,60,1,2,0,0,0,2013
"7646",42643,24881.406,24779.09,56,1,2,0,0,0,2020
"8193",46510,24090.463,22615.535,33,1,4,2,0,1,2017
"2790",13251,52000,50000,45,0,2,0,0,1,2015
"13981",86237,50680.617,63490.449,31,1,4,2,0,1,2013
"9177",53350,108288.21,117138.7,49,1,3,1,1,1,2012
"8388",47858,30519.971,16955.539,56,0,1,0,0,1,2019
"4630",21354,29206.586,2325.365,53,0,1,0,0,1,2020
"7217",39110,27694.047,26375.283,53,0,2,1,0,1,2019
"3797",15427,45769.766,45876.453,68,0,2,0,0,0,2011
"9777",57489,48345.297,47846.891,33,1,2,0,0,1,2016
"12988",79272,35479.504,29002.32,52,0,4,2,0,1,2018
"6586",34725,60276.488,60421.5,53,1,4,2,1,0,2018
"13750",84635,33000,44000,64,1,2,0,0,0,2015
"9317",54222,38620.949,38620.949,69,0,2,0,0,0,2019
"4382",19397,13869.626,15469.967,33,1,4,2,0,0,2011
"884",4073,12869.638,12955.019,64,1,1,0,0,0,2012
"6175",32215,33393.141,34888.355,75,0,2,0,0,0,2016
"7468",41052,53827.75,43859.648,31,0,2,0,1,1,2016
"8540",48864,59822.117,60210.75,65,0,2,0,1,1,2018
"5483",27578,50000,62800,70,1,2,0,0,0,2015
"2015",12512,0,23138.832,57,0,2,0,0,1,2014
"2320",12839,11400,11400,52,0,1,0,0,0,2015
"3400",13823,2716.2979,32193.158,65,1,2,0,0,0,2014
"1973",12460,36056.34,40241.449,65,1,2,0,0,1,2014
"4275",18788,38973.117,39230.77,76,0,1,0,0,0,2020
"14090",86975,32834.156,31744.023,55,0,1,0,0,1,2020
"7653",42647,11161.752,10908.753,45,1,1,0,0,0,2020
"8180",46413,34099.473,21665.41,37,1,1,0,0,1,2019
"256",986,13020.121,12072.435,81,0,2,0,0,0,2014
"4325",19034,15694.165,5794.7686,22,0,1,0,0,1,2014
"5617",28594,56886.801,66680.891,64,0,2,0,1,0,2011
"11386",68365,31349.045,30304.754,27,0,1,0,0,1,2013
"11626",69826,100744.16,104088.17,40,0,5,3,1,1,2019
"5098",24512,56989.449,41446.871,46,0,4,2,0,1,2019
"9829",57851,68400,68000,34,1,3,1,0,1,2015
"2405",12913,22850,23000,85,0,2,0,0,0,2015
"8226",46677,24946.078,24093.865,82,0,1,0,0,0,2013
"7231",39177,883.68555,15489.639,62,1,1,0,1,0,2013
"1168",10241,47726.359,47503.02,78,0,1,0,1,0,2014
"13719",84437,48646.637,58134.129,40,1,3,1,0,1,2020
"10199",60147,74415.977,58873.398,37,1,4,2,0,1,2019
"948",4346,64792.664,62300.637,50,0,2,0,0,1,2016
"12380",74926,55388.094,52082.707,55,1,2,0,0,1,2019
"12260",74307,22132.797,3521.1267,59,1,2,0,0,1,2014
"4981",23906,48963.836,32507.111,28,0,2,0,1,1,2013
"12053",72969,31578.457,31624.965,58,1,1,0,0,1,2020
"3417",13827,32474.85,32595.574,63,0,2,0,0,1,2014
"4532",20478,5263.1577,7795.0557,24,0,1,0,1,0,2016
"13506",82682,12622.457,9655.2373,85,1,1,0,0,0,2019
"11160",66782,45050.27,46210.363,52,0,2,0,0,1,2018
"4494",20159,64393.938,59808.613,32,1,2,0,0,1,2016
"13085",79886,22324.793,23470.234,74,0,2,0,0,0,2019
"11084",66348,14384,20000,61,1,2,0,0,0,2015
"10520",62339,51300.285,58919.137,31,1,4,2,0,1,2013
"5656",28875,2711.3237,44856.461,53,0,4,2,0,1,2016
"12413",75054,22323.504,20928.285,78,0,2,0,0,0,2020
"7353",39755,36229.188,38496.883,73,0,2,0,0,0,2020
"12950",78878,17091.434,13487.117,46,1,2,0,0,0,2020
"5514",27754,39539.828,39442.188,67,0,2,0,0,0,2018
"12505",75708,47809.508,58134.129,36,0,2,0,0,1,2020
"1315",10708,24325.189,25605.463,75,0,2,0,0,0,2011
"11038",66029,50578.148,49840.512,58,0,3,1,0,1,2016
"1147",10216,0,4267.5771,49,0,2,0,0,1,2011
"4941",23659,32772.621,32482.598,82,0,2,0,0,0,2018
"9261",53857,27800,32941,72,0,2,0,0,0,2015
"9385",54699,6171.272,71109.305,47,0,5,3,0,1,2013
"14323",88729,10668.942,4267.5771,57,1,1,0,0,1,2011
"13872",85420,16821.346,15506.574,69,1,1,0,0,0,2018
"1106",10122,49074.445,49698.188,60,0,2,0,0,1,2014
"6188",32357,51230,50000,54,0,3,1,0,1,2015
"9326",54242,32498.115,30143.18,56,0,2,0,1,1,2019
"1566",11308,15745.632,10544.494,57,0,1,0,0,0,2013
"10065",59271,66854.25,87433.727,62,0,4,2,1,0,2020
"13445",82183,19905.125,21393.359,33,0,1,0,0,1,2020
"1534",11242,40608.078,31236.984,67,0,3,0,0,0,2012
"10108",59557,29498.525,31465.094,29,1,1,0,1,1,2017
"13463",82298,26972.158,26102.088,52,1,1,0,0,1,2018
"10629",63037,55715.746,56924.938,60,0,3,1,0,1,2020
"12184",73883,44837.98,33911.078,42,0,2,0,0,1,2019
"8949",51839,32997.988,32193.158,31,0,2,0,0,1,2014
"4053",16971,44272.797,41446.871,71,0,2,0,0,0,2019
"5745",29412,20742.256,13487.117,40,0,1,0,0,1,2020
"12761",77818,35211.27,32193.158,58,0,4,2,0,1,2014
"5206",25123,27840,23000,51,0,1,0,0,0,2015
"6461",34126,30000,29851,40,0,1,0,0,1,2015
"14439",89624,33201.563,29764.674,48,1,4,2,0,0,2020
"6651",35123,17332.328,1554.2577,77,0,1,0,0,0,2019
"9622",56669,35795.027,2825.9231,70,1,1,0,1,0,2019
"9678",56911,21269.781,22270.158,84,0,1,0,0,0,2019
"4912",23351,1552.2041,11600.928,23,1,2,0,0,0,2018
"12997",79353,38149.961,41446.871,57,0,1,0,0,1,2019
"325",1166,24052.592,30935.809,63,1,1,0,0,1,2018
"2749",13224,18415.6,25130.934,52,0,1,0,0,1,2019
"10935",65166,27766.6,42253.52,65,1,1,0,0,0,2014
"12244",74180,47635.816,47283.703,60,0,2,0,0,1,2014
"12742",77718,1.0412328,117138.7,38,1,4,2,0,1,2012
"10307",60788,67783.094,112141.15,75,0,2,0,0,0,2016
"5397",26935,26548.672,24000.982,32,1,1,0,1,1,2017
"3307",13759,43716.863,29764.674,65,0,2,0,0,1,2020
"5806",29868,52925.641,48760.668,47,0,4,2,1,1,2013
"8439",48208,77899.727,58134.129,40,0,2,0,0,1,2020
"743",2617,34900,3600,72,0,2,0,0,0,2015
"533",1679,32648.125,32555.111,62,0,2,0,0,1,2020
"2657",13181,40603.25,30935.809,84,0,2,0,1,0,2018
"11978",72405,86098.367,89474.023,72,0,2,0,1,0,2011
"5390",26890,0,14500,41,1,4,2,0,1,2015
"12252",74287,51808.207,44697.277,56,0,3,1,0,1,2013
"8131",45943,27976.639,30143.18,45,0,2,0,0,1,2019
"998",8882,23253.65,27904.381,62,0,1,0,0,0,2020
"5624",28611,30935.809,30935.809,44,1,2,1,1,1,2018
"546",1796,25672.031,40926.426,69,1,1,0,0,0,2020
"10760",63808,14257.62,14257.62,30,1,1,0,0,0,2017
"2130",12686,11735.837,960.20483,64,1,1,0,1,1,2011
"6382",33656,0,30935.809,35,1,4,2,0,1,2018
"14212",87819,34853.051,30143.18,32,0,2,0,0,1,2019
"12608",76638,27997.396,28088.551,78,0,2,0,0,0,2020
"3679",14597,43600.594,29764.674,35,1,4,2,0,1,2020
"186",733,9667.4404,3866.9761,92,1,2,0,0,0,2018
"10437",61743,22323.504,22323.504,63,0,1,0,0,0,2020
"7366",39825,36000,32000,39,0,3,1,0,1,2015
"8848",51113,37886.699,30935.809,46,0,1,0,0,1,2018
"13844",85168,23750,23000,62,1,3,1,0,0,2015
"1877",12293,39642,3400,53,1,3,1,0,1,2015
"12579",76258,378488.13,33319.449,45,1,2,0,0,1,2012
"6800",36125,53400,48948,68,0,2,0,1,0,2015
"246",902,14952.153,14952.153,79,0,1,0,0,0,2016
"13997",86268,110103.49,106689.43,47,1,2,0,0,1,2011
"13142",80514,20400,20953,59,0,1,0,0,1,2015
"13967",86218,13490.451,14729.784,71,0,1,0,0,0,2013
"9527",55922,25113.943,29764.674,28,1,1,0,1,1,2020
"10017",58861,1367.3147,21393.359,65,1,1,0,1,0,2020
"13250",81236,18307.906,31833.992,57,1,2,1,0,1,2011
"387",1263,27739.252,27056.439,62,0,1,0,0,1,2011
"7841",43946,21880,32000,68,0,2,0,0,1,2015
"4007",16673,40920.449,46855.477,52,0,5,3,0,1,2012
"1903",12351,42497.543,3933.1367,70,0,2,0,0,0,2017
"11210",67168,17897.514,16955.539,33,1,1,0,0,1,2019
"12134",73551,27920.121,28025.621,51,0,1,0,0,1,2019
"8367",47582,100459.13,104176.36,51,1,3,1,0,1,2020
"8937",51796,56633.48,71109.305,66,0,2,0,1,0,2013
"7111",38234,18939.395,18939.395,59,1,1,0,0,0,2016
"3775",15329,31405.426,30143.18,65,0,2,0,0,0,2019
"9848",57873,18183.666,18285.25,65,0,2,0,0,0,2013
"7631",42537,16475.211,16742.629,41,0,4,2,0,1,2020
"2924",13393,13100,13550,49,0,8,6,0,1,2015
"2762",13227,18190.547,19204.098,62,0,3,1,0,1,2011
"8358",47545,41577.727,38669.762,65,1,2,0,0,1,2018
"10734",63623,26416.146,16742.629,64,1,2,0,0,0,2020
"2811",13266,23427.738,23948.355,39,1,2,0,0,1,2012
"14412",89369,24772.451,22091.629,25,1,2,0,0,0,2013
"8361",47564,34403.906,31897.926,62,1,2,0,0,1,2016
"4077",17292,36737,9655.2373,75,0,1,0,0,0,2019
"12030",72835,25433.309,30143.18,43,1,2,0,0,0,2019
"7255",39295,38736.043,38618.422,32,0,3,1,0,1,2016
"8015",44995,11533.811,11161.752,58,1,1,0,0,0,2020
"11622",69826,79557.344,60362.172,35,0,6,4,1,1,2014
"13546",82922,43412.996,32006.828,25,1,2,0,0,1,2011
"1323",10736,20824.656,20824.656,65,1,1,0,0,0,2012
"6847",36385,25052.063,23948.355,49,0,1,0,0,0,2012
"7406",40265,26822.721,23737.754,26,0,1,0,0,1,2019
"1432",10966,26610.775,21665.41,69,0,2,0,0,0,2019
"5155",24859,29498.525,28833.824,83,0,2,0,0,0,2017
"9647",56814,63869.223,49979.176,32,1,3,1,0,1,2012
"7892",44399,39480,32000,36,1,1,0,0,1,2015
"2111",12660,0,12072.435,71,0,1,0,0,0,2014
"10460",62023,40241.449,44265.594,69,0,2,0,0,0,2014
"4805",22673,20000,18000,34,1,1,0,0,1,2015
"7146",38551,29403.428,31657.695,44,0,2,0,0,0,2016
"4201",18242,66863.32,72509.344,27,0,3,1,0,1,2017
"11944",72129,44877.133,33319.449,73,0,2,0,0,0,2012
"14219",87871,40008.535,24538.568,51,0,5,3,0,1,2011
"12577",76247,130871.55,104641.43,44,0,4,2,1,1,2020
"6892",36619,0,32507.111,58,1,2,0,1,0,2013
"1113",10133,35639.602,36594.473,69,0,2,0,0,0,2011
"13661",83902,25739.275,26030.82,40,1,3,1,0,1,2012
"185",733,186.82399,3933.1367,91,1,2,0,0,0,2017
"7889",44372,30136.732,30136.732,54,0,1,0,0,1,2020
"13412",82037,62190.641,61488.785,46,0,2,0,0,1,2018
"3424",13830,24538.568,24158.754,60,0,2,0,0,0,2011
"13790",85000,51710.262,44265.594,45,0,4,2,0,1,2014
"3724",14956,50144.031,66680.891,55,0,4,2,0,1,2011
"5005",24079,37789.516,36570.5,37,0,2,0,0,1,2013
"11248",67631,27904.381,20928.285,65,1,1,0,0,1,2020
"12905",78562,23874.139,24778.762,54,0,3,1,0,1,2017
"3572",14264,15812.482,21393.359,70,0,1,0,0,1,2020
"4875",23107,22602.6,23364.486,81,1,1,0,0,0,2013
"4277",18814,22276.998,19998.141,40,0,1,0,0,1,2020
"12035",72858,39159.148,44861.875,36,0,3,1,1,1,2020
"1799",12187,39356.137,40241.449,60,0,2,0,0,1,2014
"7530",41658,16484.551,41446.871,65,1,2,0,0,1,2019
"2413",12917,11770.624,66398.391,51,1,1,0,0,0,2014
"7216",39056,45856.199,40926.426,78,0,2,0,1,0,2020
"13410",82037,58825,63500,43,0,2,0,0,1,2015
"7061",37975,43382.496,38.348083,60,0,3,1,0,1,2017
"8850",51155,46943.348,34140.617,49,1,5,3,0,0,2011
"10407",61546,47000,40000,64,0,2,0,0,1,2015
"13231",81152,51395.254,52061.641,45,0,4,2,0,1,2012
"5376",26729,28515.24,28515.24,43,1,3,1,0,1,2017
"13180",80682,44366.992,45214.77,35,0,5,3,0,1,2019
"10282",60686,34360.684,34360.684,74,0,2,0,0,0,2012
"7852",43999,12072.435,10311.871,79,0,2,0,0,0,2014
"10331",61004,23300.158,23397.824,34,1,2,1,0,1,2020
"7077",38030,40926.426,37205.84,33,0,3,1,1,1,2020
"7221",39117,28098.334,30475.416,32,0,2,0,0,1,2013
"1267",10539,68542.148,67672.078,43,1,3,1,1,1,2018
"1224",10380,26375.283,21665.41,62,0,1,0,0,1,2019
"317",1159,39780,40000,69,0,3,1,0,0,2015
"5286",25749,13176.008,10078.663,35,1,1,0,0,0,2017
"4206",18320,69976.078,87556.82,38,0,4,2,1,1,2016
"5615",28593,19665.684,17699.115,76,0,1,0,0,0,2017
"2578",13095,37949.957,40926.426,61,1,2,0,0,1,2020
"10838",64416,44051.129,44993.117,50,0,1,0,0,1,2017
"10248",60537,37000,35000,39,1,5,3,0,0,2015
"11632",69890,49300,4100,52,1,3,1,0,1,2015
"3101",13507,0,22926.635,64,1,1,0,0,1,2016
"7959",44646,50905.434,51307.848,82,1,2,0,0,0,2014
"4439",19842,19858.406,25073.746,55,0,1,0,0,0,2017
"10635",63087,18384.336,16742.629,56,1,2,0,0,1,2020
"8081",45460,54413.543,51158.031,50,0,3,1,0,1,2020
"9986",58663,30935.809,30935.809,32,1,2,0,0,1,2018
"7942",44552,37625.676,39443.156,32,1,2,0,0,1,2018
"3504",14201,42253.52,44265.594,44,1,4,2,0,1,2014
"10527",62400,57830.148,62982.527,43,1,2,0,1,1,2013
"13951",86102,28900,29000,92,0,1,0,0,0,2015
"121",461,19504.424,1671.5831,50,1,1,0,0,0,2017
"13312",81383,20817.633,16955.539,53,0,4,2,0,1,2019
"4175",17948,3912.7261,105972.12,63,1,2,0,0,1,2019
"10178",59914,44507.043,43259.559,36,1,3,1,1,0,2014
"12811",78097,43058.352,44265.594,36,1,3,1,0,1,2014
"4816",22816,29498.525,14749.263,76,0,2,0,0,0,2017
"8646",49644,33726.129,32507.111,53,1,2,0,1,1,2013
"7767",43183,23125.471,21665.41,84,1,1,0,0,0,2019
"3547",14247,30935.809,30935.809,67,0,2,0,0,0,2018
"13377",81888,2967.2192,3767.8975,22,0,1,0,1,0,2019
"4164",17803,30508.789,30694.818,54,1,1,0,0,1,2020
"9083",52510,33329.777,34140.617,46,0,4,2,0,0,2011
"612",2049,11303.692,11303.692,75,0,1,0,0,0,2019
"13072",79789,32050,44000,66,1,1,0,0,0,2015
"374",1242,16820.926,16912.475,75,1,1,0,0,0,2014
"10688",63305,30513.176,31272.805,36,1,1,0,0,1,2011
"5958",30697,4238.8848,58873.398,37,1,4,2,0,0,2019
"8762",50589,53097.344,61455.262,45,1,2,0,0,1,2017
"10789",64044,60950.832,60950.832,51,0,3,1,0,0,2013
"12485",75630,45685.758,41917.859,34,0,5,3,0,1,2019
"7908",44442,37678.977,41446.871,70,1,2,0,0,0,2019
"8885",51452,31236.984,31236.984,41,0,5,3,0,1,2012
"3260",13702,45876.453,56667.023,68,0,2,0,0,0,2011
"8058",45395,2120.7329,23253.65,76,0,2,0,0,0,2020
"11037",66029,37000,3200,57,0,3,1,0,1,2015
"2347",12862,34777.176,35922.531,58,0,2,0,0,0,2012
"3921",16026,2615.5359,2359.8821,39,0,5,3,0,1,2017
"12077",73165,37280.703,43859.648,33,0,4,2,0,1,2016
"12199",73988,54002.32,42536.734,33,1,4,2,0,1,2018
"13956",86103,33148.895,30181.086,45,0,4,2,0,1,2014
"6921",36894,44641.102,48180.926,64,1,2,0,0,1,2017
"702",2471,12150.2,12116,64,1,1,0,0,0,2015
"2941",13397,53399.121,35885.168,47,1,4,2,0,0,2016
"13849",85168,21625.895,22323.504,67,1,3,1,0,0,2020
"3416",13827,32303.941,31999.188,62,0,2,0,0,1,2013
"13528",82858,25437.561,25565.389,49,1,1,0,0,1,2017
"506",1549,21765.418,21393.359,85,0,1,0,0,0,2020
"1412",10928,29340,30000,51,1,2,1,0,1,2015
"9668",56855,57250.578,53837.008,63,0,2,0,0,1,2018
"13624",83628,41537.992,39618.043,28,1,4,2,0,1,2013
"7173",38740,26236.045,24920.256,39,1,3,2,0,1,2016
"11789",71311,23400,23000,57,0,2,0,0,1,2015
"11688",70320,30086.418,29832.498,62,0,2,0,0,0,2011
"1125",10136,41446.871,41446.871,55,0,4,2,0,1,2019
"4376",19312,11406.097,11799.41,49,0,1,0,0,0,2017
"3520",14229,26751,27904.381,74,0,2,0,0,0,2020
"4924",23468,35885.168,71770.336,42,0,1,0,0,1,2016
"3707",14808,31473.381,10935.666,66,0,2,0,0,0,2011
"12182",73883,41396.262,34414.945,40,0,2,0,0,1,2017
"2565",13081,72173.039,70422.539,41,0,3,1,0,1,2014
"5220",25224,0.96674401,3866.9761,32,0,2,0,0,1,2018
"13722",84520,43264.504,43264.504,30,0,2,0,1,1,2017
"10587",62815,13121.703,12999.246,49,1,2,1,0,1,2019
"2846",13297,52494.199,60421.5,55,1,4,2,0,1,2018
"12655",77055,29814.594,29743.82,78,0,2,0,0,0,2016
"11485",68994,55871.598,48760.668,52,0,6,4,0,1,2013
"12723",77606,15492.958,14587.525,40,1,1,0,0,0,2014
"13957",86119,83729.859,90045.875,86,0,2,0,0,0,2011
"11815",71360,17304.717,17401.393,64,0,1,0,0,0,2018
"3779",15348,37113.789,30143.18,58,1,2,0,0,0,2019
"3800",15427,41106.641,60362.172,71,0,2,0,0,0,2014
"4381",19379,23253.65,21393.359,62,1,2,0,0,0,2020
"4774",22436,36501.508,42624.34,76,0,2,0,0,0,2019
"1233",10383,16682.367,16013.564,49,1,3,2,0,1,2019
"248",905,29919.518,32193.158,74,0,1,0,0,0,2014
"1246",10405,31638.756,31897.926,72,0,2,0,0,0,2016
"10819",64279,30839.135,29925.561,34,1,1,0,0,1,2018
"3663",14401,73763.953,79744.82,41,1,2,0,1,1,2016
"7189",38855,4238.8848,44461.191,74,0,2,0,0,1,2019
"6134",31871,37396.383,40346.648,68,1,2,0,0,0,2019
"5474",27487,19900,18000,68,0,2,0,0,0,2015
"8786",50710,34508.418,34571.668,89,0,2,0,0,0,2020
"12363",74844,37341.301,34140.617,62,1,2,0,0,1,2011
"12743",77718,0,113179.08,40,1,4,2,0,1,2014
"11013",65767,36160,44000,36,1,4,2,1,1,2015
"5978",30830,95.707657,17401.393,48,1,2,0,0,1,2018
"2269",12783,3759.1843,41446.871,48,0,4,2,0,1,2019
"13302",81342,57040,50000,32,0,2,0,1,1,2015
"12002",72569,44365.781,43264.504,41,1,4,2,0,1,2017
"6279",32911,30990.957,30143.18,45,1,5,3,0,1,2019
"4720",21981,46401.516,43859.648,35,1,4,2,0,1,2016
"4594",21176,48665.242,48283.879,71,0,2,0,0,0,2020
"601",2004,30555.297,54269.371,58,0,2,0,0,1,2020
"9393",54716,36024.723,45292.066,55,0,2,0,0,1,2016
"9967",58605,30415.775,3004.3716,84,0,2,0,0,0,2020
"12812",78097,43560.605,43859.648,38,1,3,1,0,1,2016
"13331",81468,36266.012,32969.102,73,1,2,0,0,0,2019
"5972",30815,20346.646,16955.539,84,1,1,0,0,0,2019
"1763",12115,25206.957,25113.943,71,1,1,0,0,0,2020
"1822",12202,38229.375,36217.305,45,0,5,3,0,1,2014
"6386",33663,214591.94,110619.47,44,1,4,2,1,0,2017
"6483",34155,14412.208,16955.539,22,1,2,0,0,1,2019
"9896",58219,37205.84,21393.359,33,1,2,0,0,1,2020
"13020",79507,83620.125,84643.289,71,0,2,0,0,0,2020
"8992",51994,29498.525,29498.525,49,1,1,0,0,1,2017
"991",8882,29118.283,28792.17,54,0,1,0,0,1,2012
"11529",69094,21800,23000,62,1,1,0,0,0,2015
"520",1593,45765.66,30935.809,60,0,2,0,0,1,2018
"6445",34004,0,21268.367,33,0,1,0,0,1,2018
"1217",10367,24183.797,24351.223,79,0,2,0,0,0,2020
"2970",13417,26563.678,30143.18,58,0,2,0,0,1,2019
"1117",10133,41200,41047,73,0,2,0,0,0,2015
"8969",51939,48623.402,43264.504,52,1,3,1,0,1,2017
"9179",53361,1090,12000,80,1,1,0,0,0,2015
"7299",39431,20648.967,20540.807,82,0,2,0,0,0,2017
"7181",38766,34853.051,30143.18,49,1,2,0,0,1,2019
"13439",82183,23648.924,14729.784,26,0,1,0,0,1,2013
"4714",21876,35810.621,39996.281,68,0,2,0,0,0,2020
"836",3439,34955.754,34549.656,81,0,2,0,0,0,2017
"5096",24512,43264.504,39331.367,44,0,4,2,0,1,2017
"8163",46140,2625.2,2232,44,0,4,2,0,1,2015
"4179",18038,29764.674,29764.674,28,0,3,1,0,1,2020
"12809",78034,27625.338,27904.381,71,0,2,0,0,0,2020
"8584",49102,39618.043,40633.887,66,0,2,0,0,0,2013
